X,Y,OBJECTID,carr_way_no,road_id,road_name,start_name,end_name,location,latest,count_date,peak_hour,count_duration,adt,peaktraffic,pccar,pclcv,pcmcv,pchcvi,pchcvii,pcbus,pcheavy,NZTMX,NZTMY
1765659.926,5907051.6,242,24494,51205,EAST TAMAKI RD (EASTBOUND/OTARA) (SW),KELLIHER LANE,SIMON LANE,124,Yes,2000/11/16 00:00:00+00,,,,,,,,,,,,1765659.926,5907051.6
1765725.13,5907090.631,243,24493,51205,EAST TAMAKI RD (EASTBOUND/OTARA) (SW),KONINI AVE,WINTERE RD,200,Yes,1998/02/17 00:00:00+00,,,11049,,,,,,,,,1765725.13,5907090.631
1766335.554,5907567.96,244,34267,51205,EAST TAMAKI RD (EASTBOUND/OTARA) (SW),MOTORWAY OVERBRIDGE (2ND ABUTMENT),OTARA RD,984,Yes,1996/02/10 00:00:00+00,,,3884,,,,,,,,,1766335.554,5907567.96
1766906.685,5907657.983,245,28012,51205,EAST TAMAKI RD (EASTBOUND/OTARA) (SW),NEWBURY ST,BAIRDS RD,1574,Yes,1998/10/15 00:00:00+00,,,37361,,85,10,2,1,2,0,5,1766906.685,5907657.983
1769614.272,5908572.824,246,28648,54802,TE IRIRANGI DR (EAST BOUND/TAMAKI) (SE),ACCENT DR,DANNEMORA FOOTBRIDGE,4747,Yes,2007/08/23 00:00:00+00,8:00,,13399,1412,96,1,2,1,0,0,3,1769614.272,5908572.824
1769854.577,5909550.608,247,34662,54802,TE IRIRANGI DR (EAST BOUND/TAMAKI) (SE),REDCASTLE DR,SMALES RD (LHS),5757,Yes,2012/06/20 00:00:00+00,1700,,14062,1632,97,1,2,0,0,0,2,1769854.577,5909550.608
1768298.84,5905282.789,248,34669,54803,TE IRIRANGI DR (WESTBOUND) (MANUKAU) (SW),LEILA PL,SHALIMAR PL,6656,Yes,2005/07/23 00:00:00+00,8:00,,11418,1409,97,0,2,1,0,0,3,1768298.84,5905282.789
1768193.489,5905254.283,249,34791,53205,TE IRIRANGI DR (EASTBOUND) (MANUKAU) (SW),SANDRINE AVE,SHALIMAR PL,827,Yes,2010/03/04 00:00:00+00,800,7D,16409,1748,98,0,1,0,,0,1,1768193.489,5905254.283
1768438.334,5905340.046,250,34792,53205,TE IRIRANGI DR (EASTBOUND) (MANUKAU) (SW),LEILA PL,OTHELLO DR,1087,Yes,2008/08/28 00:00:00+00,8:00,,15585,1705,97,0,2,0,,0,2,1768438.334,5905340.046
1768535.956,5905320.661,251,28642,53205,TE IRIRANGI DR (EASTBOUND) (MANUKAU) (SW),OTHELLO DR,BOUNDARY RD (LHS),1187,Yes,2007/08/23 00:00:00+00,8:00,,16521,1775,97,1,2,0,0,0,2,1768535.956,5905320.661
1772029.334,5913741.875,252,34695,52667,WHITFORD RD (BOTANY) (SE),UNION RD RAB,NICHOLAS RD,34,Yes,2001/07/18 00:00:00+00,,,7212,,,,,,,,,1772029.334,5913741.875
1771931.01,5913634.581,253,27622,52667,WHITFORD RD (BOTANY) (SE),NICHOLAS RD,EDGAR PEARCE PL,184,Yes,1995/03/09 00:00:00+00,,,4768,,85,10,2,1,2,0,5,1771931.01,5913634.581
1771774.673,5912650.784,254,27617,52667,WHITFORD RD (BOTANY) (SE),MERINO AVE,CHAPEL RD RAB,1380,Yes,1994/02/20 00:00:00+00,,,12762,,85,10,2,1,2,0,5,1771774.673,5912650.784
1772868.297,5895929.376,255,3609,60177,OPAHEKE RD (PAPAKURA),GREAT SOUTH RD (START ISLAND RHS),CHAPEL ST,100,Yes,2007/11/10 00:00:00+00,,,4484,,97,1,2,0,0,0,2,1772868.297,5895929.376
1773015.903,5895656.777,256,2730,60177,OPAHEKE RD (PAPAKURA),ONSLOW RD,SETTLEMENT RD,413,Yes,1980/08/13 00:00:00+00,11:00,,6079,798,86,8,3,2,1,0,6,1773015.903,5895656.777
1773041.724,5895542.43,257,3603,60177,OPAHEKE RD (PAPAKURA),SETTLEMENT RD,ALEXANDER ST,533,Yes,2002/10/27 00:00:00+00,,,3653,,96,1,2,1,0,0,3,1773041.724,5895542.43
1773221.534,5895001.373,258,2783,60177,OPAHEKE RD (PAPAKURA),FAIRVIEW AVE,GAYLANDS PL,1107,Yes,1998/03/19 00:00:00+00,18:00,,,,,,,,,,,1773221.534,5895001.373
